"cnae_fiscal","descricao"
"4771701","Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas"
"4614100","Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves"
"1091100","Fabricação de produtos de panificação"
"5222200","Terminais rodoviários e ferroviários"
"1093701","Fabricação de produtos derivados do cacau e de chocolates"
"6410700","Banco Central"
"0112101","Cultivo de algodão herbáceo"
"4789005","Comércio varejista de produtos saneantes domissanitários"
"9313100","Atividades de condicionamento físico"
"0162899","Atividades de apoio à pecuária não especificadas anteriormente"
"2320600","Fabricação de cimento"
"4761003","Comércio varejista de artigos de papelaria"
"4669901","Comércio atacadista de bombas e compressores; partes e peças"
"2532202","Metalurgia do pó"
"4616800","Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem"
"6911702","Atividades auxiliares da justiça"
"4912402","Transporte ferroviário de passageiros municipal e em região metropolitana"
"2349401","Fabricação de material sanitário de cerâmica"
"4722901","Comércio varejista de carnes - açougues"
"4763603","Comércio varejista de bicicletas e triciclos; peças e acessórios"
"2349499","Fabricação de produtos cerâmicos não-refratários não especificados anteriormente"
"4723700","Comércio varejista de bebidas"
"3099700","Fabricação de equipamentos de transporte não especificados anteriormente"
"2062200","Fabricação de produtos de limpeza e polimento"
"3299006","Fabricação de velas, inclusive decorativas"
"0729405","Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente"
"0159804","Criação de bicho-da-seda"
"7420001","Atividades de produção de fotografias, exceto aérea e submarina"
"4692300","Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários"
"3211603","Cunhagem de moedas e medalhas"
"2099199","Fabricação de outros produtos químicos não especificados anteriormente"
"4663000","Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças"
"4120400","Construção de edifícios"
"9493600","Atividades de organizações associativas ligadas à cultura e à arte"
"4623103","Comércio atacadista de algodão"
"8640209","Serviços de diagnóstico por métodos ópticos - endoscopia e outros exames análogos"
"5229001","Serviços de apoio ao transporte por táxi, inclusive centrais de chamada"
"6629100","Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente"
"2722801","Fabricação de baterias e acumuladores para veículos automotores"
"2330305","Preparação de massa de concreto e argamassa para construção"
"2920402","Fabricação de motores para caminhões e ônibus"
"1011201","Frigorífico - abate de bovinos"
"8219901","Fotocópias"
"7729299","Aluguel de outros objetos pessoais e domésticos não especificados anteriormente"
"3600601","Captação, tratamento e distribuição de água"
"2790299","Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente"
"9609202","Agências matrimoniais"
"8711502","Instituições de longa permanência para idosos"
"0133410","Cultivo de manga"
"4771702","Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas"
"9603304","Serviços de funerárias"
"7119703","Serviços de desenho técnico relacionados à arquitetura e engenharia"
"2599399","Fabricação de outros produtos de metal não especificados anteriormente"
"8630502","Atividade médica ambulatorial com recursos para realização de exames complementares"
"3292201","Fabricação de roupas de proteção e segurança e resistentes a fogo"
"2391501","Britamento de pedras, exceto associado à extração"
"5111100","Transporte aéreo de passageiros regular"
"1091101","Fabricação de produtos de panificação industrial"
"0210107","Extração de madeira em florestas plantadas"
"2412100","Produção de ferroligas"
"4329102","Instalação de equipamentos para orientação à navegação marítima fluvial e lacustre"
"0115600","Cultivo de soja"
"8121400","Limpeza em prédios e em domicílios"
"9312300","Clubes sociais, esportivos e similares"
"4684202","Comércio atacadista de solventes"
"2449101","Produção de zinco em formas primárias"
"5822102","Edição integrada à impressão de jornais não diários"
"1013902","Preparação de subprodutos do abate"
"6821801","Corretagem na compra e venda e avaliação de imóveis"
"6440900","Arrendamento mercantil"
"5240101","Operação dos aeroportos e campos de aterrissagem"
"7731400","Aluguel de máquinas e equipamentos agrícolas sem operador"
"1359600","Fabricação de outros produtos têxteis não especificados anteriormente"
"0721902","Beneficiamento de minério de alumínio"
"0990403","Atividades de apoio à extração de minerais não-metálicos"
"4773300","Comércio varejista de artigos médicos e ortopédicos"
"2019399","Fabricação de outros produtos químicos inorgânicos não especificados anteriormente"
"0810004","Extração de calcário e dolomita e beneficiamento associado"
"5021102","Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia"
"5021101","Transporte por navegação interior de carga, municipal, exceto travessia"
"8413200","Regulação das atividades econômicas"
"4330499","Outras obras de acabamento da construção"
"2531402","Produção de forjados de metais não-ferrosos e suas ligas"
"4741500","Comércio varejista de tintas e materiais para pintura"
"1910100","Coquerias"
"5590603","Pensões (alojamento)"
"3316301","Manutenção e reparação de aeronaves, exceto a manutenção na pista"
"2861500","Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta"
"9319199","Outras atividades esportivas não especificadas anteriormente"
"2449199","Metalurgia de outros metais não-ferrosos e suas ligas não especificados anteriormente"
"5612100","Serviços ambulantes de alimentação"
"0810005","Extração de gesso e caulim"
"1121600","Fabricação de águas envasadas"
"2029100","Fabricação de produtos químicos orgânicos não especificados anteriormente"
"2391502","Aparelhamento de pedras para construção, exceto associado à extração"
"4649408","Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar"
"7739003","Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes"
"4929901","Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal"
"8030700","Atividades de investigação particular"
"0111399","Cultivo de outros cereais não especificados anteriormente"
"3512300","Transmissão de energia elétrica"
"3240099","Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente"
"3329599","Instalação de outros equipamentos não especificados anteriormente"
"8610101","Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências"
"7722500","Aluguel de fitas de vídeo, DVDs e similares"
"6424704","Cooperativas de crédito rural"
"4511102","Comércio a varejo de automóveis, camionetas e utilitários usados"
"1731100","Fabricação de embalagens de papel"
"2790202","Fabricação de equipamentos para sinalização e alarme"
"6499901","Clubes de investimento"
"2851800","Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios"
"4731800","Comércio varejista de combustíveis para veículos automotores"
"2399102","Fabricação de abrasivos"
"3250704","Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral, exceto sob encomenda"
"7490105","Agenciamento de profissionais para atividades esportivas, culturais e artísticas"
"8690903","Atividades de acupuntura"
"0134200","Cultivo de café"
"5611205","Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento"
"3314702","Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas"
"1071600","Fabricação de açúcar em bruto"
"1412601","Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida"
"9103100","Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental"
"2424502","Produção de relaminados, trefilados e perfilados de aço, exceto arames"
"9200399","Exploração de jogos de azar e apostas não especificados anteriormente"
"4789008","Comércio varejista de artigos fotográficos e para filmagem"
"1220402","Fabricação de cigarrilhas e charutos"
"0153902","Criação de ovinos, inclusive para produção de lã"
"0133402","Cultivo de banana"
"7732202","Aluguel de andaimes"
"8292000","Envasamento e empacotamento sob contrato"
"1610205","Serviço de tratamento de madeira realizado sob contrato"
"2091600","Fabricação de adesivos e selantes"
"3299004","Fabricação de painéis e letreiros luminosos"
"2032100","Fabricação de resinas termofixas"
"6491300","Sociedades de fomento mercantil - factoring"
"8299705","Serviços de levantamento de fundos sob contrato"
"9529106","Reparação de jóias"
"9529199","Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente"
"8599602","Cursos de pilotagem"
"4330405","Aplicação de revestimentos e de resinas em interiores e exteriores"
"8630506","Serviços de vacinação e imunização humana"
"2660400","Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação"
"5320202","Serviços de entrega rápida"
"8640206","Serviços de ressonância magnética"
"1330800","Fabricação de tecidos de malha"
"4520003","Serviços de manutenção e reparação elétrica de veículos automotores"
"8650005","Atividades de terapia ocupacional"
"3250702","Fabricação de mobiliário para uso médico, cirúrgico, odontológico e de laboratório"
"4221904","Construção de estações e redes de telecomunicações"
"5912099","Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente"
"1921700","Fabricação de produtos do refino de petróleo"
"9900800","Organismos internacionais e outras instituições extraterritoriais"
"2391503","Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras"
"5240199","Atividades auxiliares dos transportes aéreos, exceto operação dos aeroportos e campos de aterrissagem"
"4784900","Comércio varejista de gás liqüefeito de petróleo (GLP)"
"4671100","Comércio atacadista de madeira e produtos derivados"
"3314716","Manutenção e reparação de tratores, exceto agrícolas"
"6499905","Concessão de crédito pelas OSCIP"
"3220500","Fabricação de instrumentos musicais, peças e acessórios"
"3314708","Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas"
"4399101","Administração de obras"
"2829101","Fabricação de máquinas de escrever, calcular e outros equipamentos não-eletrônicos para escritório, peças e acessórios"
"2950600","Recondicionamento e recuperação de motores para veículos automotores"
"8640204","Serviços de tomografia"
"2949299","Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente"
"7490104","Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários"
"2862300","Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios"
"7119704","Serviços de perícia técnica relacionados à segurança do trabalho"
"5611201","Restaurantes e similares"
"4520007","Serviços de instalação, manutenção e reparação de acessórios para veículos automotores"
"3050400","Fabricação de veículos militares de combate"
"4647802","Comércio atacadista de livros, jornais e outras publicações"
"4644302","Comércio atacadista de medicamentos e drogas de uso veterinário"
"0724302","Beneficiamento de minério de metais preciosos"
"3212400","Fabricação de bijuterias e artefatos semelhantes"
"4541201","Comércio por atacado de motocicletas e motonetas"
"4744003","Comércio varejista de materiais hidráulicos"
"4312600","Perfurações e sondagens"
"4789001","Comércio varejista de suvenires, bijuterias e artesanatos"
"4729699","Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente"
"5822101","Edição integrada à impressão de jornais diários"
"9412001","Atividades de fiscalização profissional"
"6432800","Bancos de investimento"
"4619200","Representantes comerciais e agentes do comércio de mercadorias em geral não especializado"
"2550101","Fabricação de equipamento bélico pesado, exceto veículos militares de combate"
"0990402","Atividades de apoio à extração de minerais metálicos não-ferrosos"
"1830001","Reprodução de som em qualquer suporte"
"4930204","Transporte rodoviário de mudanças"
"0311602","Pesca de crustáceos e moluscos em água salgada"
"2319200","Fabricação de artigos de vidro"
"3315500","Manutenção e reparação de veículos ferroviários"
"8640210","Serviços de quimioterapia"
"4632003","Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada"
"1012104","Matadouro - abate de suínos sob contrato"
"6822600","Gestão e administração da propriedade imobiliária"
"4330401","Impermeabilização em obras de engenharia civil"
"1011202","Frigorífico - abate de eqüinos"
"4222701","Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação"
"1065101","Fabricação de amidos e féculas de vegetais"
"6424702","Cooperativas centrais de crédito"
"4299501","Construção de instalações esportivas e recreativas"
"5232000","Atividades de agenciamento marítimo"
"0311604","Atividades de apoio à pesca em água salgada"
"7740300","Gestão de ativos intangíveis não-financeiros"
"5620104","Fornecimento de alimentos preparados preponderantemente para consumo domiciliar"
"4211101","Construção de rodovias e ferrovias"
"6630400","Atividades de administração de fundos por contrato ou comissão"
"9511800","Reparação e manutenção de computadores e de equipamentos periféricos"
"4789099","Comércio varejista de outros produtos não especificados anteriormente"
"8640212","Serviços de hemoterapia"
"9529102","Chaveiros"
"0133404","Cultivo de cítricos, exceto laranja"
