"cnpj","cnpj_ordem","cnpj_dv","nome_fantasia","razao_social","matriz_filial","porte","situacao","cnae_fiscal","cnae_descr","cnae_secundario","logradouro","numero","complemento","bairro","cep","uf","municipio","ddd_1","telefone_1","ddd_2","telefone_2","email"
"02483451","0001","52",NULL,"FRIGORIFICO BRASIL CENTRAL LTDA",1,1,2,"1011201","1011201 - Frigorífico - abate de bovinos","1013901,1013902","SANTA ENGRACIA","52",NULL,"JAGUARE","05337000","SP","SAO PAULO",NULL,"",NULL,"",NULL
"00609701","0001","22","JULUTA'S CONFECCOES","JULITA'S CONFECCOES E BAZAR LTDA",1,1,2,"4781400","4781400 - Comércio varejista de artigos do vestuário e acessórios",NULL,"CNL 01 LOTE D AREA ESPECIAL PARA FEIRA PERMANENTE BLOCO A-3","S/N","      BOXES 09 E 19","TAGUATINGA","72150770","DF","BRASILIA","61","33998138",61,"33995750","contelb@contelb.com.br"
"07401753","0001","58",NULL,"NIANE TRANSPORTES RODOVIARIOS LTDA",1,1,2,"4930202","4930202 - Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",NULL,"ALFREDO DE LAVRA PINTO","1435",NULL,"FRANCISCO DONCATTO","95190000","RS","SAO MARCOS","54","2912571",NULL,"",NULL
"02645680","0002","07",NULL,"SODRE CALCADOS EIRELI",2,1,2,"4782201","4782201 - Comércio varejista de calçados",NULL,"RIO BRANCO","133","LOJA B","CENTRO","20040006","RJ","RIO DE JANEIRO","21","25694042",NULL,"","rc1@radnet.com.br"
"03947761","0001","43","J. FAE","COMERCIAL SAO FELIPE LTDA",1,1,2,"4712100","4712100 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","4755502,4755503,4761003,4781400,4763602,4723700,4763601,4782201,4722901,4772500,4762800,4744001,4784900,4721103,4744099,4742300,4711302,4789005","CAMPINAS","07","CASA","VILA NOVA","88550000","SC","PONTE ALTA",NULL,"",NULL,"",NULL
"03966053","0001","50","GRM PRODUCOES","GABRIELA COSTA CANDIDO LIOTERIO PRODUCOES",1,5,2,"9001902","9001902 - Produção musical","9001906,9329899,7319003,9001903,7319002","SAMUEL LIBORIO DE AVILA","75",NULL,"JARDIM ADRIANA","07135250","SP","GUARULHOS","11","24563503",NULL,"","wlwcontabil@terra.com.br"
"03271844","0002","46","AUTO KAR","PETRONILO & PETRONILO LTDA",2,3,2,"4530703","4530703 - Comércio a varejo de peças e acessórios novos para veículos automotores",NULL,"J.  K.","S/N",NULL,"CENTRO","68639000","PA","GOIANESIA DO PARA",NULL,"",NULL,"",NULL
"05656593","0001","62",NULL,"SHEILA CRISTINE HATAKA PITTA",1,1,2,"3230200","3230200 - Fabricação de artefatos para pesca e esporte",NULL,"ARNALDO TOLEDO DE BARROS","445",NULL,"JD.SANTA ANTONIETA","17512370","SP","MARILIA",NULL,"",NULL,"",NULL
"05674800","0001","01",NULL,"ELAINE DE LIMA PEDROSA",1,1,2,"9602501","9602501 - Cabeleireiros, manicure e pedicure","4772500,9602502","DOUTOR EPIPHANIO MAGALHAES MACEDO","450",NULL,"RESIDENCIAL HONDURAS","37150000","MG","CARMO DO RIO CLARO","35","99451091",NULL,"",NULL
"02318425","0001","79","M3 COMUNICACAO","MCM PROPAGANDA LTDA",1,5,2,"7311400","7311400 - Agências de publicidade",NULL,"DR. SILVA FERREIRA","111",NULL,"SANTO AMARO","50040130","PE","RECIFE","81","34234300",81,"34234300",NULL
